VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
HE21319_210621_21JJ15_mirror_IB,2021,NA,NA,NA,727,621,408,351,138,#ARVO!,#ARVO!,#ARVO!,777,671,458,401,188,#ARVO!,#ARVO!,#ARVO!,677,571,358,301,88
HE21320_210621_21JJ15_mirror_IB,2021,NA,NA,NA,702,599,375,321,97,#ARVO!,#ARVO!,#ARVO!,752,649,425,371,147,#ARVO!,#ARVO!,#ARVO!,652,549,325,271,47
HE21321_220621_21JJ8_mirror_IB,2021,NA,NA,NA,702,597,417,347,131,#ARVO!,#ARVO!,#ARVO!,752,647,467,397,181,#ARVO!,#ARVO!,#ARVO!,652,547,367,297,81
HE21322_220621_21JJ10_mirror_IB,2021,NA,NA,NA,725,620,448,383,167,#ARVO!,#ARVO!,#ARVO!,775,670,498,433,217,#ARVO!,#ARVO!,#ARVO!,675,570,398,333,117
HE21323_220621_21JJ10_mirror_IB,2021,NA,NA,NA,717,611,442,374,159,#ARVO!,#ARVO!,#ARVO!,767,661,492,424,209,#ARVO!,#ARVO!,#ARVO!,667,561,392,324,109
HE21324_230621_21EK13_mirror_IB,2021,NA,NA,NA,663,541,342,272,17,#ARVO!,#ARVO!,#ARVO!,713,591,392,322,67,#ARVO!,#ARVO!,#ARVO!,613,491,292,222,-33
HE21325_230621_21EK9_mirror_IB,2021,NA,NA,NA,670,548,350,278,22,#ARVO!,#ARVO!,#ARVO!,720,598,400,328,72,#ARVO!,#ARVO!,#ARVO!,620,498,300,228,-28
HE21326_230621_21EK9_mirror_IB,2021,NA,NA,NA,759,659,474,418,230,#ARVO!,#ARVO!,#ARVO!,809,709,524,468,280,#ARVO!,#ARVO!,#ARVO!,709,609,424,368,180
HE21327_240621_21EK15_mirror_IB,2021,NA,NA,NA,706,598,401,338,107,#ARVO!,#ARVO!,#ARVO!,756,648,451,388,157,#ARVO!,#ARVO!,#ARVO!,656,548,351,288,57
HE21328_140721_Kodderviken_mirror_IB,2021,NA,NA,NA,715,614,417,364,149,#ARVO!,#ARVO!,#ARVO!,765,664,467,414,199,#ARVO!,#ARVO!,#ARVO!,665,564,367,314,99
HE21328_240621_21EK24_mirror_IB,2021,NA,NA,NA,719,617,424,368,155,#ARVO!,#ARVO!,#ARVO!,769,667,474,418,205,#ARVO!,#ARVO!,#ARVO!,669,567,374,318,105
HE21329_240621_21EK24_mirror_IB,2021,NA,NA,NA,715,616,448,389,189,#ARVO!,#ARVO!,#ARVO!,765,666,498,439,239,#ARVO!,#ARVO!,#ARVO!,665,566,398,339,139
HE21330_250621_21EK18_mirror_IB,2021,NA,NA,NA,702,599,407,348,148,#ARVO!,#ARVO!,#ARVO!,752,649,457,398,198,#ARVO!,#ARVO!,#ARVO!,652,549,357,298,98
HE21331_250621_21DT5_mirror_IB,2021,NA,NA,NA,704,602,409,349,140,#ARVO!,#ARVO!,#ARVO!,754,652,459,399,190,#ARVO!,#ARVO!,#ARVO!,654,552,359,299,90
